AVERAGED ALTITUDE UPTO THAT INSTANT,Pressure (milliBar),Temp Celcius
-18.3296,1009.6973,31
-18.3202,1009.6556,31
-18.2804,1009.6257,31
-18.2602,1009.6444,31
-18.2052,1009.6108,31
-18.1621,1009.6225,31
-18.16,1009.6623,31
-18.0582,1009.5637,31
-18.0416,1009.6481,31
-18.0465,1009.6691,31
-18.017,1009.6354,31
-18.0258,1009.6729,31
-18.032,1009.6705,31
-18.0079,1009.6406,31
-18.0502,1009.7065,31
-18.0223,1009.6369,31
-17.9738,1009.616,31
-18.0103,1009.701,31
-18.0108,1009.6646,31
-18.0735,1009.7272,31
-18.0797,1009.6705,31
-18.1027,1009.6878,31
-18.1013,1009.6631,31
-18.0805,1009.6437,31
-18.0735,1009.6571,31
-18.0513,1009.6422,31
-18.1004,1009.7139,31
-18.0971,1009.6609,31
-18.1386,1009.7065,31
-18.1737,1009.7005,31
-18.1834,1009.6743,31
-18.1596,1009.6406,31
-18.1242,1009.6287,31
-18.1727,1009.7139,31
-18.1805,1009.6722,31
-18.1827,1009.6668,31
-18.1972,1009.6796,31
-18.1958,1009.6631,31
-18.1979,1009.6668,31
-18.1983,1009.6646,31
-18.2182,1009.6854,31
-18.2216,1009.6684,31
-18.2848,1009.7304,31
-18.3449,1009.7266,31
-18.3304,1009.6497,31
-18.3099,1009.6437,31
-18.3551,1009.7116,31
-18.3201,1009.6287,31
-18.3415,1009.6871,31
-18.3629,1009.6871,31
-18.3703,1009.6722,31
-18.4388,1009.7363,31
-18.4552,1009.6818,31
-18.5071,1009.7191,31
-18.4998,1009.6571,31
-18.5408,1009.708,31
-18.5203,1009.6437,31
-18.525,1009.6698,31
-18.519,1009.6586,31
-18.5106,1009.6563,31
-18.5333,1009.6892,31
-18.5315,1009.6631,31
-18.5398,1009.6736,31
-18.5427,1009.6684,31
-18.585,1009.7095,31
-18.6004,1009.6811,31
-18.6157,1009.6811,31
-18.6643,1009.7169,31
-18.7074,1009.7109,31
-18.7012,1009.6586,31
-18.6986,1009.6624,31
-18.7007,1009.6676,31
-18.7454,1009.7133,31
-18.731,1009.6497,31
-18.7937,1009.7326,31
-18.7887,1009.6601,31
-18.8277,1009.7073,31
-18.818,1009.6549,31
-18.8258,1009.6736,31
-18.7894,1009.6265,31
-18.7745,1009.6489,31
-18.7958,1009.6885,31
-18.8136,1009.6848,31
-18.8021,1009.6527,31
-18.7872,1009.6489,31
-18.8137,1009.6937,31
-18.7988,1009.6489,31
-18.7369,1009.5983,31
-18.71,1009.6362,31
-18.6724,1009.6245,31
-18.7005,1009.696,31
-18.6561,1009.617,31
-18.6449,1009.6527,31
-18.6471,1009.6676,31
-18.6705,1009.6907,31
-18.6485,1009.6414,31
-18.6374,1009.6527,31
-18.643,1009.6713,31
-18.6365,1009.6581,31
-18.6409,1009.6698,31
-18.623,1009.6452,31
-18.6646,1009.7109,31
-18.7142,1009.7199,31
-18.7659,1009.7222,31
-18.7998,1009.7029,31
-18.8222,1009.69,31
-18.819,1009.6618,31
-18.8766,1009.7296,31
-18.862,1009.6489,31
-18.8656,1009.6693,31
-18.8913,1009.6937,31
-18.9203,1009.6975,31
-18.995,1009.749,31
-19.0391,1009.7147,31
-19.0475,1009.6751,31
-19.0858,1009.7087,31
-19.084,1009.6638,31
-19.1093,1009.6937,31
-19.1008,1009.6563,31
-19.1388,1009.7087,31
-19.1493,1009.6773,31
-19.1058,1009.617,31
-19.1309,1009.6937,31
-19.0973,1009.6282,31
-19.0637,1009.6282,31
-19.0018,1009.5958,31
-19.0252,1009.6922,31
-19.0336,1009.6751,31
-19.0552,1009.69,31
-19.0779,1009.6917,31
-19.1039,1009.6954,31
-19.1144,1009.6773,31
-19.1735,1009.7333,31
-19.2165,1009.7147,31
-19.2411,1009.6937,31
-19.2574,1009.6842,31
-19.2577,1009.6661,31
-19.2476,1009.6544,31
-19.2573,1009.6767,31
-19.2718,1009.6825,31
-19.2617,1009.6544,31
-19.2631,1009.6676,31
-19.2563,1009.6581,31
-19.2478,1009.6563,31
-19.2443,1009.6618,31
-19.2703,1009.696,31
-19.2354,1009.6258,31
-19.2221,1009.6506,31
-19.2497,1009.6975,31
-19.2149,1009.6258,31
-19.2061,1009.6557,31
-19.22,1009.6818,31
-19.1835,1009.6237,31
-19.1963,1009.6805,31
-19.1553,1009.6184,31
-19.1778,1009.6922,31
-19.2079,1009.7012,31
-19.2708,1009.7394,31
-19.2738,1009.6693,31
-19.2509,1009.6394,31
-19.2727,1009.6917,31
-19.2486,1009.6377,31
-19.2181,1009.6301,31
-19.2479,1009.7012,31
-19.2198,1009.6333,31
-19.2308,1009.6788,31
-19.2205,1009.6536,31
-19.2235,1009.6693,31
-19.2547,1009.7029,31
-19.2492,1009.6594,31
-19.2341,1009.6481,31
-19.2716,1009.7103,31
-19.2809,1009.6767,31
-19.2817,1009.6669,31
-19.3064,1009.6954,31
-19.3029,1009.6618,31
-19.3037,1009.6669,31
-19.3304,1009.6975,31
